cluster_id,app_number,application_id,start_time,end_time,log_lines,duration_seconds
1440487435730,0039,1440487435730_0039,2015-09-01 18:14:40,2015-09-01 18:19:50,9946,310
1448006111297,0137,1448006111297_0137,2016-04-07 10:45:21,2016-04-07 11:28:11,60345,2570
1448006111297,0138,1448006111297_0138,2016-04-07 11:39:58,2016-04-07 12:22:08,58063,2530
1460011102909,0176,1460011102909_0176,2016-07-26 11:54:20,2016-07-26 12:19:25,117471,1505
1472621869829,0081,1472621869829_0081,2016-09-09 07:43:47,2016-09-09 07:44:12,83,25
1472621869829,0082,1472621869829_0082,2016-09-09 07:45:49,2016-09-09 07:45:59,82,10
1472621869829,0083,1472621869829_0083,2016-09-09 07:46:50,2016-09-09 07:47:09,84,19
1472621869829,0084,1472621869829_0084,2016-09-09 07:48:25,2016-09-09 07:48:49,83,24
1472621869829,0085,1472621869829_0085,2016-09-09 07:51:18,2016-09-09 07:51:44,83,26
1472621869829,0086,1472621869829_0086,2016-09-09 07:52:43,2016-09-09 07:53:05,83,22
1472621869829,0087,1472621869829_0087,2016-09-09 08:04:46,2016-09-09 08:05:19,910,33
1472621869829,0088,1472621869829_0088,2016-09-09 10:06:51,2016-09-09 10:07:06,1596,15
1474351042505,2578,1474351042505_2578,2016-11-18 22:30:06,2016-11-19 00:59:04,80711,8938
1485248649253,0001,1485248649253_0001,2017-01-24 17:00:28,2017-01-24 17:13:19,614,771
1485248649253,0002,1485248649253_0002,2017-02-01 11:58:08,2017-02-02 03:30:45,1435333,55957
1485248649253,0003,1485248649253_0003,2017-02-09 19:44:21,2017-02-09 19:56:53,667,752
1485248649253,0004,1485248649253_0004,2017-02-09 19:56:35,2017-02-09 20:03:43,643,428
1485248649253,0005,1485248649253_0005,2017-02-09 20:17:48,2017-02-09 20:25:41,369,473
1485248649253,0006,1485248649253_0006,2017-02-09 20:36:11,2017-02-09 20:44:05,568,474
1485248649253,0007,1485248649253_0007,2017-03-14 20:56:31,2017-03-14 21:11:24,770,893
1485248649253,0008,1485248649253_0008,2017-03-14 20:59:51,2017-03-14 21:13:59,1209,848
1485248649253,0009,1485248649253_0009,2017-03-14 21:02:26,2017-03-14 21:14:41,605,735
1485248649253,0010,1485248649253_0010,2017-03-14 21:11:12,2017-03-14 21:21:44,763,632
1485248649253,0011,1485248649253_0011,2017-03-14 21:13:08,2017-03-14 21:22:44,767,576
1485248649253,0012,1485248649253_0012,2017-03-14 21:21:44,2017-03-14 21:31:20,763,576
1485248649253,0017,1485248649253_0017,2017-03-14 21:22:44,2017-03-14 21:38:38,381,954
1485248649253,0014,1485248649253_0014,2017-03-14 21:23:57,2017-03-14 21:31:23,737,446
1485248649253,0015,1485248649253_0015,2017-03-14 21:24:02,2017-03-14 21:33:36,731,574
1485248649253,0018,1485248649253_0018,2017-03-14 21:26:32,2017-03-14 21:40:13,398,821
1485248649253,0016,1485248649253_0016,2017-03-14 21:26:48,2017-03-14 21:32:46,342,358
1485248649253,0019,1485248649253_0019,2017-03-14 21:30:49,2017-03-14 21:46:41,370,952
1485248649253,0020,1485248649253_0020,2017-03-14 21:39:57,2017-03-14 21:46:10,374,373
1485248649253,0022,1485248649253_0022,2017-03-14 21:52:53,2017-03-14 22:08:33,770,940
1485248649253,0021,1485248649253_0021,2017-03-14 21:58:34,2017-03-14 21:58:45,14,11
1485248649253,0023,1485248649253_0023,2017-03-14 22:03:09,2017-03-14 22:36:35,791,2006
1485248649253,0024,1485248649253_0024,2017-03-14 22:16:41,2017-03-14 22:51:06,659,2065
1485248649253,0026,1485248649253_0026,2017-03-16 16:38:25,2017-03-16 16:57:20,592,1135
1485248649253,0027,1485248649253_0027,2017-03-16 17:04:51,2017-03-16 17:26:44,4537,1313
1485248649253,0029,1485248649253_0029,2017-03-16 17:11:13,2017-03-16 17:40:38,4541,1765
1485248649253,0030,1485248649253_0030,2017-03-16 17:46:33,2017-03-16 20:33:32,55122,10019
1485248649253,0031,1485248649253_0031,2017-03-21 00:17:49,2017-03-21 00:23:21,26,332
1485248649253,0033,1485248649253_0033,2017-03-21 00:18:39,2017-03-21 00:36:52,398,1093
1485248649253,0032,1485248649253_0032,2017-03-21 00:18:54,2017-03-21 00:35:42,167,1008
1485248649253,0034,1485248649253_0034,2017-03-21 09:28:15,2017-03-21 09:48:24,24740,1209
1485248649253,0035,1485248649253_0035,2017-03-21 09:41:22,2017-03-21 10:30:24,69521,2942
1485248649253,0036,1485248649253_0036,2017-03-21 11:34:08,2017-03-21 12:22:14,64114,2886
1485248649253,0037,1485248649253_0037,2017-03-23 13:59:32,2017-03-23 14:36:47,52189,2235
1485248649253,0038,1485248649253_0038,2017-03-23 14:31:22,2017-03-23 15:14:46,66020,2604
1485248649253,0039,1485248649253_0039,2017-03-23 14:35:13,2017-03-23 15:23:34,58869,2901
1485248649253,0040,1485248649253_0040,2017-03-23 15:49:27,2017-03-23 15:51:18,26,111
1485248649253,0041,1485248649253_0041,2017-03-23 15:52:19,2017-03-23 16:27:15,32343,2096
1485248649253,0042,1485248649253_0042,2017-03-27 14:28:01,2017-03-27 15:18:26,66530,3025
1485248649253,0043,1485248649253_0043,2017-03-27 19:34:24,2017-03-27 20:08:45,87135,2061
1485248649253,0044,1485248649253_0044,2017-03-28 11:11:56,2017-03-28 11:39:47,43581,1671
1485248649253,0045,1485248649253_0045,2017-03-28 11:30:59,2017-03-28 11:47:43,35506,1004
1485248649253,0046,1485248649253_0046,2017-03-28 11:43:31,2017-03-28 11:59:11,27453,940
1485248649253,0047,1485248649253_0047,2017-03-28 15:07:59,2017-03-28 15:43:55,61399,2156
1485248649253,0048,1485248649253_0048,2017-03-28 15:38:31,2017-03-28 16:08:38,51981,1807
1485248649253,0049,1485248649253_0049,2017-03-28 17:01:07,2017-03-28 17:40:20,9867,2353
1485248649253,0050,1485248649253_0050,2017-03-28 18:00:09,2017-03-28 18:43:08,57634,2579
1485248649253,0052,1485248649253_0052,2017-03-29 09:55:33,2017-03-29 10:11:36,1601,963
1485248649253,0051,1485248649253_0051,2017-03-29 10:08:37,2017-03-29 10:10:19,991,102
1485248649253,0053,1485248649253_0053,2017-03-29 17:07:34,2017-03-29 17:45:50,28261,2296
1485248649253,0054,1485248649253_0054,2017-03-29 17:12:57,2017-03-29 17:29:51,415,1014
1485248649253,0055,1485248649253_0055,2017-03-29 17:28:03,2017-03-29 18:05:33,5515,2250
1485248649253,0056,1485248649253_0056,2017-03-29 19:21:17,2017-03-29 20:02:22,75877,2465
1485248649253,0057,1485248649253_0057,2017-03-29 21:11:38,2017-03-29 21:49:45,44711,2287
1485248649253,0058,1485248649253_0058,2017-03-29 21:42:30,2017-03-29 23:17:39,11121,5709
